date,网上签约套数,网上签约面积(m2),住宅签约套数,住宅签约面积(m2)
2025/4/21,751,68835.18,671,62191.01
2025/4/22,698,59445.19,636,56796.04
2025/4/23,778,73796.77,690,67688.89
2025/4/24,704,62495.86,633,57543.67
2025/4/26,212,17339.14,194,16609.27
2025/4/27,826,66093.7,647,57622.35
2025/4/28,731,63755.66,638,58913.45
2025/4/29,766,66351.23,674,61717.48
2025/5/1,30,2611.92,26,2381.39
2025/5/2,17,1540.33,12,1255.81
2025/5/3,22,2054.29,21,1937.33
2025/5/4,24,2124.87,22,1871.78
2025/5/5,35,3582.62,28,3322.36
2025/5/6,542,42065.43,428,37720.79
2025/5/7,606,51196.8,532,47007.18
2025/5/8,703,61843.57,624,56686.27
2025/5/9,710,63075.23,645,59556.78
2025/5/10,220,19291.84,205,18516.17
2025/5/11,142,13421.06,130,12800.15
2025/5/12,791,72939.15,716,68942.7
2025/5/13,713,65214.94,651,62462.42
2025/5/14,792,70881.17,684,65004.9
2025/5/15,759,68362.97,690,64719.35
2025/5/16,791,72761.93,728,68924.97
2025/5/17,233,20112.8,217,19433.18
2025/5/18,148,12755.62,137,11640.32
2025/5/19,713,60259.08,644,56238.89
2025/5/20,706,62497.69,609,57393.09
2025/5/21,747,70253.38,672,64864.21
2025/5/22,733,65913.38,670,61250.6
2025/5/25,146,13563.5800,136,12756.6900
